"filename", "language", "JSON", "comment", "blank", "total"
"/Users/hashem/Desktop/Development/JavaScript/Projects/iWatch/package-lock.json", "JSON", -14255, 0, -1, -14256
"Total", "-", -14255, 0, -1, -14256
